noticia_id,titulo,sentimento_llm,entidade_llm,ticker_mapeado,sentimento_humano_PREENCHER
75383,BTG adquire empresa de comércio exterior Sertrading,positivo,BTG Pactual,BPAC11,
65761,de itau a petrobras veja as acoes mais recomendadas para investir em outubro,positivo,Itaú,ITUB4,
74416,"BTG compra participação da Caixa no Banco PAN por R$ 3,7 bi",positivo,BTG Pactual,BPAC11,
57116,ibovespa hoje bolsa de valores ao vivo,neutro,Ibovespa,,
64255,confronto eua ira encarece petroleo favorece acoes da petrobras mas a pressiona a rever precos,positivo,Petrobras,PETR4,
92326,"Explosão em SP: moradores afetados irão receber R$ 5 mil, diz Sabesp",negativo,Sabesp,SBSP3,
58133,petrobras prates lula acoes volatilidade,negativo,Petrobras,PETR4,
54042,"Ibovespa hoje: JHSF (JHSF3), Santander (SANB11), Itaú (ITUB4) e Sabesp (SBSP3) são os destaques positivos do dia",positivo,JHSF,,
94758,"WEG aposta em mobilidade elétrica, internacionalização e data centers para crescer",positivo,WEG,WEGE3,
84603,Ainda vale a pena comprar Itaú (ITUB3) em 2025?,neutro,Itaú,ITUB4,
80924,Iguatemi São Carlos tem novo horário a partir de segunda-feira,neutro,Iguatemi,IGTI11,
56307,preco da gasolina em goiania cai quase um real apos anuncio de reducao da petrobras,negativo,petrobras,PETR4,
78189,Confira a programação gratuita das Bibliotecas Municipais de Sorocaba no mês de abril,neutro,Nenhuma,,
81290,Desfile marca o lançamento da campanha “Verão Iguatemi” no Iguatemi Bosque - Portal IN - Pompeu Vasconcelos,positivo,Iguatemi,IGTI11,
55778,criticas lula capitalizacao eletrobras,negativo,Eletrobras,,
64518,lula pacote bondades economia ano eleitoral popularidade,neutro,Nenhuma,,
82608,Qual banco está barato na bolsa?,neutro,N/A,,
74830,Startup de crédito Ali recebe R$ 135 mi de hub do BTG Pactual,positivo,BTG Pactual,BPAC11,
92592,JPMorgan rebaixa Caixa Seguridade (CXSE3) após consignado privado; entenda,negativo,Caixa Seguridade,,
59435,"Dólar salta 1,5% e fecha próximo de R$ 5,20, à espera do Fed; Ibovespa tem queda",negativo,Ibovespa,,
56249,o recife de corais raro na boca do rio amazonas sob ameaca da extracao de petroleo,negativo,petrobras,PETR4,
64912,grupo refit polemicas entenda,negativo,Refit,,
55391,pacote do governo para o setor automotivo e bomba relogio de inflacao,negativo,setor automotivo,,
91768,Sabesp (SBSP3) vai pagar mais dividendos após privatização?,positivo,Sabesp,SBSP3,
85773,"Renner: resultados erráticos, desaceleração e ação cortada – LREN3 cai 4% após 3T",negativo,Lojas Renner,LREN3,
88288,Petrobras fecha acordo bilionário com chineses para financiar plano de negócios,positivo,Petrobras,PETR4,
54469,alta dos combustiveis entidades e politicos repercutem reajuste de precos da petrobras,negativo,Petrobras,PETR4,
60876,eolicas em alto mar veem fuga de capital com atraso em marco legal,negativo,Setor Eólico,,
91698,Sabesp (SBSP3): Câmara de SP aprova em primeiro turno adesão da cidade à privatização,positivo,Sabesp,SBSP3,
59973,petrobras petr4 nega intencao de retornar ao segmento de distribuicao grazziotin cgra4 pagara jcp em agosto e mais noticias,positivo,Grazziotin,,
58811,petrobras reduz preco do oleo diesel para as distribuidoras,negativo,petrobras,PETR4,
86634,Shopping ParkJacarepaguá será inaugurado em novembro de 2021,positivo,Multiplan,MULT3,
78630,Incorporadora ‘na chon’? Chama o Grendene,neutro,Grendene,GRND3,
57271,condicoes e fator petrobras os impasses na proposta pela braskem brkm5,negativo,braskem,,
79824,"Hypera (HYPE3) anuncia aumento de capital de até R$ 1,5 bilhão",negativo,Hypera,HYPE3,
64587,campo de buzios petroleo,positivo,Petrobras,PETR4,
95060,WEG investe US$ 77 milhões na expansão de fábrica de transformadores nos EUA - InvestNews,positivo,WEG,WEGE3,
92683,"Eletrobras (AXIA3, AXIA5, AXIA6): Banco Clássico atinge 5,00% das ações ON",neutro,Eletrobras,,
78117,Posse administrativa dos(as) conselheiros(as) seccionais marca 1ª Sessão Extraordinária do Conselho Pleno da OAB-GO,neutro,OAB-GO,,
56821,em plano de governo ciro gomes defende mudar politica de precos da petrobras e criar programa de renda minima,negativo,Petrobras,PETR4,
57183,juros sobre capital proprio jcp reforma tributaria,negativo,mercado,,
62111,governo publica mp para limitar subsidios da conta de luz e mudar regras de venda de gas da uniao,neutro,governo,,
66854,taxacao sobre debentures incentivadas teria impacto de r 1547 bi no setor de saneamento diz estudo,negativo,setor de saneamento,SBSP3,
55298,gas nacional aumentar oferta,positivo,Gás Nacional,,
78570,"Grendene lança Nuar, plataforma de melhor impacto",positivo,Grendene,GRND3,
59953,ibovespa hoje bolsa de valores ao vivo,neutro,ibovespa,,
58604,gasolina e diesel vao ficar mais caros por causa da guerra de israel e hamas,negativo,petrobras,PETR4,
88163,Funcionárias terceirizadas do Centro de Pesquisa da Petrobras denunciam petroleiro por assédio sexual,negativo,Petrobras,PETR4,
85314,De C&A a Track&Field: o que 9 gráficos contam sobre as varejistas de moda?,neutro,C&A,,
55066,"Preço médio da gasolina sobe para R$ 5,67 em Porto Velho após alta de 1,4% em uma semana, diz ANP",positivo,Petrobras,PETR4,
56970,petrobras cogita retomar exploracao na africa,positivo,Petrobras,PETR4,
60348,petrobras petr4 onda corte recomendacao acoes decepcao dividendos sem catalisadores,negativo,petrobras,PETR4,
86163,"Preços de tarifas de pedágio da Via Lagos serão reduzidos a partir dessa terça-feira, 1 de agosto",negativo,CCR,MOTV3,
82873,Motiva adere à iniciativa global de proteção à biodiversidade TNFD e reforça liderança setorial em sustentabilidade,neutro,Motiva,MOTV3,
58700,apos desistencia da adnoc braskem brkm5 afirma que ha outra empresa interessada em aquisicao,positivo,Braskem,,
66622,aliados de haddad aumentam criticas a sabesp para atingir tarcisio,negativo,Sabesp,SBSP3,
94262,Nardini participa de feira nos Estados Unidos,neutro,Nardini,,
79059,Atenção: datas corretas de pagamento de dividendo da Grendene (GRND3),neutro,Grendene,GRND3,
62763,ibovespa fecha em queda com mercado a espera de medidas fiscais do governo,negativo,Ibovespa,,
59283,operacao prometheus contratos petrobras,negativo,Petrobras,PETR4,
86778,Hapvida compra operadora de saúde por R$ 120 milhões; veja os destaques do Radar,positivo,Hapvida,,
83615,Itaú aposenta marca de cartões Itaucard,neutro,Itaú,ITUB4,
81776,"Isa Cteep: conciliação com a Fazenda de SP não implica abrir mão de direitos, diz CEO",positivo,Isa Cteep,ISAE4,
